Statistics,NLP,Machine Learning,Deep Learning,R Language,Python Language,Data Engineering,Marketing,Java,Unknown
statistic model,nlp,linear distribution,neural network,R Language,Python ,aws,communication,oop,elasticsearch
statistic modelling,spacy,logistic regression,keras,shinny,django,ec2,management,maven,celery
probability,nltk,k  means,theans,lubridate,flask,s3,excel,gradle,javascript
normal distribution,sklearn ,random forest,face detection,,pandas,docker,team work,spring,Git 
poission distribution,matplotlib,naiive baise,neural network,,numpy,scala,data entry,mvc,kubernetes
,chat bot,pca,yolo,,sklearn,,problem solving,servlets,github
,,natural language,tensorflow,,matplotlib,,,java beans,ansible
,,nltk,opencv,,statsmodel,,,server pages,rabbitmq 
,,data modelling,,,api,,,server face,terraform
,,,,,rest api,,,openjpa,MySql 
,,,,,restframe,,,serialization,ReactJS  
,,,,,,,,,reactnative
,,,,,,,,,jenkins
,,,,,,,,,grapana
,,,,,,,,,linux
,,,,,,,,,prometheus
